Species;Abbreviation;Seed mixture - Species present in 2021;;;;;Seed mixture - Species present in 2024;;;;
;;L.nr;M.nr;M.r;I.nr;H.r;L.nr;M.nr;M.r;I.nr;H.r
Acer campestre;Acer_camp;;;;;;;;;;x
Acer pseudoplatanus;Acer_pseu;;;;;;;;;x;
Achillea millefolium;Achi_mill;x;x;x;x;x;x;x;x;x;x
Agrimonia eupatoria;Agri_eupa;;x;;;x;x;x;;;x
Agrostis capillaris;Agro_capi;;;;;;x;x;x;x;x
Ajuga reptans;Ajug_rept;;x;;;x;;;;;
Allium fistulosum;Alli_fist;;;;x;;;;;;
Anethum graveolens;Anet_grav;;;;;;;;;;
Anthoxanthum odoratum;Anth_odor;;x;;x;x;;;;;
Anthriscus sylvestris;Anth_sylv;;;;;;;;;;
Anthyllis vulneraria;Anth_vuln;;;;;;;;;;
Arenaria serpyllifolia;Aren_serp;;;;x;;;;;;
Arrhenatherum elatius;Arrh_elat;;;x;x;x;x;x;;x;x
Barbarea vulgaris;Barb_vulg;;;;;x;;;;;
Betonica officinalis;Beto_offi;;;;;;;;;;
Borago officinalis;Bora_offi;x;x;;;;;;;;
Brassica napus;Bras_napu;x;;;;;;;;;
Bromus erectus;Brom_erec;;;;;x;;x;x;;x
Calendula officinalis;Cale_offi;;;;x;x;;;;;
Camelina sativa;Came_sati;x;;;x;x;;;;;
Campanula patula;Camp_patu;;;x;;;;;;;
Campanula persicifolia;Camp_pers;;;;;;;;;;
Campanula rapunculoides;Camp_rapu;;;x;;;;;x;;
Capsella bursa-pastoris;Caps_burs;;;;x;;;;;;
Carduus nutans;Card_nuta;;;;;x;;;;;
Carum carvi;Caru_carv;x;x;x;;x;;;;;
Centaurea cyanus;Cent_cyan;x;;x;x;x;;;;;
Centaurea jacea;Cent_jace;x;;x;x;x;x;x;x;x;x
Centaurea scabiosa;Cent_scab;;x;;;x;;;;;
Cerastium arvense;Cera_arve;;;;x;;;;;;
Cichorium intybus;Cich_inty;x;x;x;x;x;;;;;
Cirsium arvense;Cirs_arve;x;;x;x;;x;x;x;x;x
Cirsium vulgare;Cirs_vulg;;x;x;x;x;;x;x;x;x
Clinopodium vulgare;Clin_vulg;;x;;;;;x;;;
Coriandrum sativum;Cori_sati;;;;;;;;;;
Cota tinctoria;Cota_tinc;x;x;x;x;x;;x;x;x;
Crepis biennis;Crep_bien;;;x;;;;;x;;
Cynosurus cristatus;Cyno_cris;;x;;x;x;x;x;x;x;x
Dactylis glomerata;Dact_glom;x;;;x;;x;;x;x;
Daucus carota;Dauc_caro;x;x;x;x;x;x;x;x;x;x
Dianthus carthusianorum;Dian_cart;;;;;;;;;;
Dipsacus fullonum;Dips_full;;x;x;;x;x;x;x;x;x
Echium vulgare;Echi_vulg;x;x;x;;x;;;x;;
Elymus repens;Elym_repe;x;;;;;;;x;;
Epilobium palustre;Epil_palu;;;;;;;;x;;
Epilobium parviflorum;Epil_parv;x;;;;;x;;x;x;x
Epilobium tetragonum;Epil_tetr;x;;;;;x;x;x;x;x
Equisetum arvense;Equi_arve;;;;;;;;;;
Erigeron annuus;Erig_annu;x;x;;x;;;;;;
Fagopyrum esculentum;Fago_escu;x;;;x;;;;;;
Festuca ovina;Fest_ovin;x;;;;;;;;;
Foeniculum vulgare;Foen_vulg;;x;;;;;;;;
Fraxinus excelsior;Frax_exce;;x;;;;x;x;x;x;x
Galium album;Gali_albu;x;x;x;x;x;x;x;x;x;x
Galium aparine;Gali_apar;x;x;x;x;;x;;;;
Galium verum;Gali_veru;;x;x;;;;x;x;;
Geranium dissectum;Gera_diss;;;;;;x;;x;x;x
Geranium pratense;Gera_prat;;;x;;;x;x;x;x;x
Geranium robertianum;Gera_rober;;;;;;;;x;;
Geum urbanum;Geum_urba;;;;;;x;x;x;;
Glebionis segetum;Gleb_sege;;;;;x;;;;;
Helianthus annuus;Heli_annu;;x;;;;;;;;
Holcus lanatus;Holc_lana;x;x;x;x;x;x;x;x;x;x
Hypericum perforatum;Hype_perf;;x;;x;;;x;;x;
Hypochaeris radicata;Hypo_radi;;;x;x;x;;;;;
Isatis tinctoria;Isat_tinc;;x;;x;;;;;;
Knautia arvensis;Knau_arve;x;;x;x;x;x;x;x;x;x
Legousia speculum-veneris;Lego_spec;;;x;;;;;;;
Leucanthemum sp.;Leuc_(vul;x;x;x;x;x;x;x;;x;x
Linaria vulgaris;Lina_vulg;;x;;;;;x;x;;x
Linum perenne;Linu_pere;;;;x;;;x;;;
Linum rubrum;Linu_rubr;;;;;;;;;;
Linum usitatissimum;Linu_usit;;x;;;;;;;;
Lolium perenne;Loli_pere;x;x;x;x;x;;;;;
Lotus corniculatus;Lotu_corn;x;;x;x;x;;;;;x
Malva alcea;Malv_alce;;;x;;;;x;;;x
Malva moschata;Malv_mosc;;x;;x;x;x;x;x;;
Malva sylvestris;Malv_sylv;;;;;;;;;;
Medicago lupulina;Medi_lupu;x;x;x;;x;;;;;
Medicago minima;Medi_mini;;;;;;;;;;
Medicago sativa;Medi_sati;x;x;;x;x;;;;;
Melilotus albus;Meli_albu;x;x;x;x;x;;x;;x;x
Melilotus officinalis;Meli_offi;x;x;x;x;x;;;;x;x
Myosotis arvensis;Myos_arve;;x;x;;;x;x;x;x;
Nigella sativa;Nige_sati;;;;;;;;;;
Oenothera biennis;Oeno_bien;;;;;x;;x;;;x
Onobrychis viciifolia;Onob_vici;x;x;x;x;x;;;;x;
Origanum vulgare;Orig_vulg;;x;;x;;x;x;x;x;x
Papaver rhoeas;Papa_rhoe;;;x;;;;;;;
Pastinaca sativa;Past_sati;;x;x;x;x;;;x;;
Phacelia tanacetifolia;Phac_tana;x;x;;x;x;;x;x;x;
Phleum pratense;Phle_prat;;;;;;x;;x;x;
Pimpinella major;Pimp_majo;;;;;;;x;;x;
Plantago lanceolata;Plan_lanc;x;x;x;x;x;x;x;x;x;x
Plantago major;Plan_majo;;x;;;x;;;;;
Plantago media;Plan_medi;x;x;;;x;;x;x;;
Poa annua;Poa _annu;;x;x;x;x;;;;;
Poa pratensis;Poa _prat;x;;;;;;;x;;
Poa trivialis;Poa _triv;x;x;x;x;x;;;;;
Prunella vulgaris;Prun_vulg;;x;;;x;;x;x;x;x
Ranunculus acris;Ranu_acri;;x;;;x;;;;;
Ranunculus repens;Ranu_repe;;;;x;;;;;;
Reseda luteola;Rese_lute;;x;x;x;;;x;;;
Rumex crispus;Rume_cris;x;x;x;x;;x;x;x;x;
Rumex obtusifolius;Rume_obtu;x;x;x;x;x;;x;x;x;
Salix caprea;Sali_capr;;;;;;;x;x;x;
Salvia pratensis;Salv_prat;;x;x;x;x;;x;;;
Sanguisorba minor;Sang_mino;x;x;x;x;x;x;x;x;x;x
Sanguisorba officinalis;Sang_offi;;;;;;x;x;x;x;x
Saponaria officinalis;Sapo_offi;;;;;x;;;;x;
Scorzoneroides autumnalis;Scor_autu;;;;;x;;;;;
Sherardia arvensis;Sher_arve;;;;;;;;;;
Silene dioica;Sile_dioi;x;x;x;x;x;x;x;x;x;x
Silene flos-cuculi;Sile_flos;x;;x;x;x;;;;;
Silene latifolia;Sile_lati;x;x;x;x;x;x;;x;x;x
Silene vulgaris;Sile_vulg;x;x;x;x;;;x;x;x;x
Sinapis alba;Sina_alba;;;;;;;;;;
Sinapis arvensis;Sina_arve;;;x;x;;;;;;
Solidago virgaurea;Soli_virg;;;;x;;;;;;
Sonchus asper;Sonc_aspe;;;;;;x;;;;
Stellaria media;Stel_medi;x;;x;;;;;;;
Tanacetum vulgare;Tana_vulg;;;x;x;;;;x;x;
Taraxacum officinale;Tara_offi;x;x;x;x;x;;;;;
Tragopogon pratensis;Trag_prat;;;x;;;;;;;
Trifolium hybridum;Trif_hybr;x;x;;;x;x;x;;x;
Trifolium incarnatum;Trif_inca;;;;;x;;;;;
Trifolium pratense;Trif_prat;x;x;x;x;x;;;;;
Trifolium repens;Trif_repe;x;x;x;x;x;;;;;
Trisetum flavescens;Tris_flav;;;;;;x;x;x;x;x
Tussilago farfara;Tuss_farf;;x;x;x;;;x;x;;
Urtica dioica;Urti_dioi;;x;;;;x;x;x;x;x
Valeriana dentata;Vale_dent;;;;;;;;;;
Valeriana rimosa;Vale_rimo;;;;;;;;;;
Verbascum densiflorum;Verb_dens;;;;x;;;;;;
Verbascum lychnitis;Verb_lych;;x;;;;;;;;
Verbascum nigrum;Verb_nigr;;;;;;;x;;;
Verbascum thapsus;Verb_thap;;;x;;;;;;;
Veronica arvensis;Vero_arve;;;x;x;;;;;;
Veronica chamaedrys;Vero_cham;;;;x;;;x;;;
Veronica hederifolia;Vero_hede;x;;x;;;;;;;
Veronica persica;Vero_pers;;;x;x;;;;;;
Vicia cracca;Vici_crac;;;;;x;;;;;x
Vicia sativa;Vici_sati;;x;;x;;;;;;
Viola arvensis;Viol_arve;;x;;;;;;;;
Viola tricolor;Viol_tric;;;;x;;;;;;
