nr;code;sampling_period;sampling_year;seed_mixture;number_seed_mix;year_mix_group;seed_density;replication;id;DensityBlock;GrownBlock;spec_nr
61;01_A1y21;EarlySummer21;2021;L.nr;1;1;1;1;1;D01;1;20
62;24_A1y21;EarlySummer21;2021;L.nr;1;1;1;2;24;D08;9;13
63;38_A1y21;EarlySummer21;2021;L.nr;1;1;1;3;38;D14;13;7
64;57_A1y21;EarlySummer21;2021;L.nr;1;1;1;4;57;D17;18;12
65;03_A2y21;EarlySummer21;2021;L.nr;1;1;2;1;3;D01;2;19
66;21_A2y21;EarlySummer21;2021;L.nr;1;1;2;2;21;D08;8;12
67;46_A2y21;EarlySummer21;2021;L.nr;1;1;2;3;46;D14;15;13
68;53_A2y21;EarlySummer21;2021;L.nr;1;1;2;4;53;D17;17;12
69;05_A3y21;EarlySummer21;2021;L.nr;1;1;3;1;5;D01;3;19
70;18_A3y21;EarlySummer21;2021;L.nr;1;1;3;2;18;D08;7;12
71;42_A3y21;EarlySummer21;2021;L.nr;1;1;3;3;42;D14;14;15
72;49_A3y21;EarlySummer21;2021;L.nr;1;1;3;4;49;D17;16;13
73;15_B1y21;EarlySummer21;2021;I.nr;4;4;1;1;15;D05;6;16
74;17_B1y21;EarlySummer21;2021;I.nr;4;4;1;2;17;D07;7;11
75;33_B1y21;EarlySummer21;2021;I.nr;4;4;1;3;33;D09;12;13
76;39_B1y21;EarlySummer21;2021;I.nr;4;4;1;4;39;D15;13;11
77;12_B2y21;EarlySummer21;2021;I.nr;4;4;2;1;12;D05;5;11
78;20_B2y21;EarlySummer21;2021;I.nr;4;4;2;2;20;D07;8;17
79;29_B2y21;EarlySummer21;2021;I.nr;4;4;2;3;29;D09;11;12
80;47_B2y21;EarlySummer21;2021;I.nr;4;4;2;4;47;D15;15;14
81;09_B3y21;EarlySummer21;2021;I.nr;4;4;3;1;9;D05;4;10
82;23_B3y21;EarlySummer21;2021;I.nr;4;4;3;2;23;D07;9;10
83;25_B3y21;EarlySummer21;2021;I.nr;4;4;3;3;25;D09;10;7
84;43_B3y21;EarlySummer21;2021;I.nr;4;4;3;4;43;D15;14;9
85;08_C1y21;EarlySummer21;2021;M.nr;2;2;1;1;8;D04;4;23
86;35_C1y21;EarlySummer21;2021;M.nr;2;2;1;2;35;D11;12;12
87;37_C1y21;EarlySummer21;2021;M.nr;2;2;1;3;37;D13;13;17
88;59_C1y21;EarlySummer21;2021;M.nr;2;2;1;4;59;D19;18;18
89;14_C2y21;EarlySummer21;2021;M.nr;2;2;2;1;14;D04;6;20
90;27_C2y21;EarlySummer21;2021;M.nr;2;2;2;2;27;D11;10;19
