species;01_A1y21;24_A1y21;38_A1y21;57_A1y21;03_A2y21;21_A2y21;46_A2y21;53_A2y21;05_A3y21;18_A3y21;42_A3y21;49_A3y21;15_B1y21;17_B1y21;33_B1y21;39_B1y21;12_B2y21;20_B2y21;29_B2y21;47_B2y21;09_B3y21;23_B3y21;25_B3y21;43_B3y21;08_C1y21;35_C1y21;37_C1y21;59_C1y21;14_C2y21;27_C2y21;41_C2y21;55_C2y21;11_C3y21;31_C3y21;45_C3y21;51_C3y21;16_D1y21;28_D1y21;48_D1y21;50_D1y21;19_D2y21;36_D2y21;44_D2y21;54_D2y21;22_D3y21;32_D3y21;40_D3y21;58_D3y21;02_E1y21;13_E1y21;26_E1y21;52_E1y21;04_E2y21;07_E2y21;30_E2y21;56_E2y21;06_E3y21;10_E3y21;34_E3y21;60_E3y21;01_A1z21;24_A1z21;38_A1z21;57_A1z21;03_A2z21;21_A2z21;46_A2z21;53_A2z21;05_A3z21;18_A3z21;42_A3z21;49_A3z21;15_B1z21;17_B1z21;33_B1z21;39_B1z21;12_B2z21;20_B2z21;29_B2z21;47_B2z21;09_B3z21;23_B3z21;25_B3z21;43_B3z21;08_C1z21;35_C1z21;37_C1z21;59_C1z21;14_C2z21;27_C2z21;41_C2z21;55_C2z21;11_C3z21;31_C3z21;45_C3z21;51_C3z21;16_D1z21;28_D1z21;48_D1z21;50_D1z21;19_D2z21;36_D2z21;44_D2z21;54_D2z21;22_D3z21;32_D3z21;40_D3z21;58_D3z21;02_E1z21;13_E1z21;26_E1z21;52_E1z21;04_E2z21;07_E2z21;30_E2z21;56_E2z21;06_E3z21;10_E3z21;34_E3z21;60_E3z21;01_A1x24;24_A1x24;38_A1x24;57_A1x24;03_A2x24;21_A2x24;46_A2x24;53_A2x24;05_A3x24;18_A3x24;42_A3x24;49_A3x24;15_B1x24;17_B1x24;33_B1x24;39_B1x24;12_B2x24;20_B2x24;29_B2x24;47_B2x24;09_B3x24;23_B3x24;25_B3x24;43_B3x24;08_C1x24;35_C1x24;37_C1x24;59_C1x24;14_C2x24;27_C2x24;41_C2x24;55_C2x24;11_C3x24;31_C3x24;45_C3x24;51_C3x24;16_D1x24;28_D1x24;48_D1x24;50_D1x24;19_D2x24;36_D2x24;44_D2x24;54_D2x24;22_D3x24;32_D3x24;40_D3x24;58_D3x24;02_E1x24;13_E1x24;26_E1x24;52_E1x24;04_E2x24;07_E2x24;30_E2x24;56_E2x24;06_E3x24;10_E3x24;34_E3x24;60_E3x24;01_A1y24;24_A1y24;38_A1y24;57_A1y24;03_A2y24;21_A2y24;46_A2y24;53_A2y24;05_A3y24;18_A3y24;42_A3y24;49_A3y24;15_B1y24;17_B1y24;33_B1y24;39_B1y24;12_B2y24;20_B2y24;29_B2y24;47_B2y24;09_B3y24;23_B3y24;25_B3y24;43_B3y24;08_C1y24;35_C1y24;37_C1y24;59_C1y24;14_C2y24;27_C2y24;41_C2y24;55_C2y24;11_C3y24;31_C3y24;45_C3y24;51_C3y24;16_D1y24;28_D1y24;48_D1y24;50_D1y24;19_D2y24;36_D2y24;44_D2y24;54_D2y24;22_D3y24;32_D3y24;40_D3y24;58_D3y24;02_E1y24;13_E1y24;26_E1y24;52_E1y24;04_E2y24;07_E2y24;30_E2y24;56_E2y24;06_E3y24;10_E3y24;34_E3y24;60_E3y24
Acer_camp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer_pseu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achi_mill;2;0;4;1;1;0;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;2;1;1;2;1;0;1;1;1;2;1;4;4;0;2;2;4;4;1;7;4;2;1;4;2;4;2;2;1;2;2;2;2;1;1;2;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;2;2;2;4;4;4;10;4;2;2;4;4;1;1;1;1;1;1;1;1;2;1;0;1;2;4;1;2;4;2;4;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;4;1;20;10;0;1;2;4;2;0;2;20;1;2;10;20;4;10;10;2;10;2;20;4;2;4;10;0;4;0;20;0;2;2;2;0;0;2;0;0;1;2;0;0;1;0;0;0;0;10;4;0;0;1;4;0;0;4;2;0;1;1;20;0;1;1;4;2;2;0;2;4;0;0;4;10;2;4;4;4;10;2;10;20;1;0;4;0;2;2;10;0;4;2;1;0;0;0;0;0;1;0;1;0;4;0;1;0;0;4;4;0;0;0;2;0;0;2;0;2
Agri_eupa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Agro_capi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;1;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;2;0;4;0;0;0;10;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;20;0;1;4;0;10;0;0;0;0;0;0;0;0;0
Ajug_rept;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alli_fist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anet_grav;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anth_odor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anth_sylv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
