id;year;replication;DensityBlock;GrownBlock;nr_seeded;21spec_ear;24spec_ear;21spec_lat;24spec_lat;21all_spec;24all_spec;21weed;24weed;21estab;24estab;21biomass;21nb_pollin;24nb_pollin;21nb_grasses;24nb_grasses
01-A1;2021;1;D01;1;26;20;7;12;8;21;11;7;9;14;2;138.84;18;5;2;0
02-E1;2021;1;D02;1;61;22;10;10;9;22;11;3;6;19;5;142.62;20;3;3;0
03-A2;2021;1;D01;2;26;19;4;6;7;19;8;6;4;13;4;94.54;10;7;2;0
04-E2;2021;1;D02;2;61;17;7;11;4;19;7;3;3;16;4;132.1;13;8;2;1
05-A3;2021;1;D01;3;26;19;8;11;7;20;8;6;5;14;3;142.06;8;9;0;2
06-E3;2021;1;D02;3;61;13;5;8;4;15;5;3;1;12;4;124.33;16;10;2;1
07-E2;2021;2;D03;4;61;19;15;10;9;21;15;4;4;17;11;137.69;18;4;2;0
08-C1;2021;1;D04;4;42;23;18;12;14;25;19;6;7;19;12;111.47;22;12;1;2
09-B3;2021;1;D05;4;46;10;14;12;9;13;16;3;7;10;9;61.43;16;10;0;0
10-E3;2021;2;D03;5;61;15;11;10;7;17;12;0;1;17;11;98.34;16;3;2;0
11-C3;2021;1;D04;5;42;17;15;8;13;18;18;3;6;15;12;124.35;15;12;0;3
12-B2;2021;1;D05;5;46;11;11;10;13;12;15;2;6;10;9;68.93;11;10;1;1
13-E1;2021;2;D03;6;61;17;12;9;11;18;14;4;2;14;12;108.76;17;9;2;1
14-C2;2021;1;D04;6;42;20;14;10;12;20;18;3;6;17;12;102.12;20;17;0;2
15-B1;2021;1;D05;6;46;16;14;13;12;17;16;9;6;8;10;123.44;12;15;0;2
16-D1;2021;1;D06;7;41;17;10;12;8;19;13;3;3;16;10;197.35;17;9;0;2
17-B1;2021;2;D07;7;46;11;13;9;10;13;14;5;6;8;8;132.18;14;10;2;0
18-A3;2021;2;D08;7;26;12;7;6;7;12;9;4;7;8;2;157.59;11;10;2;0
19-D2;2021;1;D06;8;41;11;12;13;12;17;16;2;5;15;11;160.28;16;13;0;0
20-B2;2021;2;D07;8;46;17;12;11;12;18;14;9;7;9;7;84.8;11;9;0;1
21-A2;2021;2;D08;8;26;12;7;5;5;13;7;5;4;8;3;140.06;14;3;4;0
22-D3;2021;1;D06;9;41;14;17;8;14;15;21;2;9;13;12;178.51;16;10;1;1
23-B3;2021;2;D07;9;46;10;17;11;13;12;18;1;7;11;11;92.92;16;7;1;1
24-A1;2021;2;D08;9;26;13;9;6;9;13;10;5;8;8;2;109.68;12;6;1;0
25-B3;2021;3;D09;10;46;7;17;8;22;9;24;2;11;7;13;80.26;14;14;1;1
26-E1;2021;3;D10;10;61;19;13;8;13;19;15;2;4;17;11;104.24;19;11;2;1
27-C2;2021;2;D11;10;42;19;17;9;15;19;19;3;8;16;11;112.27;18;12;0;2
28-D1;2021;2;D12;10;41;12;11;10;10;16;18;4;9;12;9;132.61;15;11;0;1
29-B2;2021;3;D09;11;46;12;14;12;16;16;20;5;7;11;13;144.5;13;15;1;1
30-E2;2021;3;D10;11;61;19;14;10;13;22;18;3;4;19;14;99.93;15;5;2;0
31-C3;2021;2;D11;11;42;14;17;6;17;15;20;1;8;14;12;104.74;17;11;2;1
32-D3;2021;2;D12;11;41;14;11;9;12;16;14;2;6;14;8;242.54;16;12;0;1
33-B1;2021;3;D09;12;46;13;15;11;17;15;23;6;10;9;13;65.45;12;12;0;0
34-E3;2021;3;D10;12;61;10;12;10;13;11;17;1;5;10;12;65.78;13;3;2;0
35-C1;2021;2;D11;12;42;12;19;13;13;16;20;2;8;14;12;98.14;19;10;0;3
36-D2;2021;2;D12;12;41;14;18;13;10;17;19;1;9;16;10;207.02;16;13;0;1
37-C1;2021;3;D13;13;42;17;20;10;17;21;25;3;9;18;16;96.48;15;12;0;3
38-A1;2021;3;D14;13;26;7;11;3;12;8;14;2;9;6;5;100.6;11;8;2;1
39-B1;2021;4;D15;13;46;11;13;9;12;17;15;6;5;11;10;239.51;11;15;0;0
40-D3;2021;3;D16;13;41;11;14;9;11;14;20;2;11;12;9;189.25;18;10;1;0
41-C2;2021;3;D13;14;42;15;17;10;16;16;19;4;6;12;13;85.09;17;12;0;1
42-A3;2021;3;D14;14;26;15;11;5;7;15;11;4;7;11;4;73.55;10;8;1;1
43-B3;2021;4;D15;14;46;9;15;9;18;10;22;0;8;10;14;81.13;8;15;0;0
44-D2;2021;3;D16;14;41;12;10;16;11;20;12;5;4;15;8;145.39;17;12;0;1
45-C3;2021;3;D13;15;42;8;12;5;12;8;14;1;4;7;10;124.33;17;10;0;2
46-A2;2021;3;D14;15;26;13;11;2;9;13;14;4;8;9;6;110.21;17;4;2;1
47-B2;2021;4;D15;15;46;14;20;10;16;16;23;8;10;8;13;78.62;10;15;0;1
48-D1;2021;3;D16;15;41;15;8;10;11;18;14;3;6;15;8;97.73;14;16;0;3
49-A3;2021;4;D17;16;26;13;12;5;8;13;14;5;8;8;6;203.47;10;6;1;1
50-D1;2021;4;D18;16;41;15;12;7;9;16;13;2;3;14;10;92.06;14;10;0;1
51-C3;2021;4;D19;16;42;12;14;8;9;13;16;2;6;11;10;59.19;15;13;0;1
52-E1;2021;4;D20;16;61;20;6;9;5;20;6;2;2;18;4;60.55;15;6;2;1
53-A2;2021;4;D17;17;26;12;8;5;10;12;11;3;7;9;4;106.44;12;6;2;1
54-D2;2021;4;D18;17;41;8;9;15;11;18;14;3;6;15;8;106.65;13;12;0;2
55-C2;2021;4;D19;17;42;18;12;11;10;19;16;4;5;15;11;67.82;8;7;0;2
56-E2;2021;4;D20;17;61;15;9;8;7;17;10;2;3;15;7;84.68;9;13;2;2
57-A1;2021;4;D17;18;26;12;12;5;5;13;13;4;9;9;4;141.61;11;10;1;1
58-D3;2021;4;D18;18;41;9;10;6;11;10;15;0;10;10;5;120.72;9;11;0;1
59-C1;2021;4;D19;18;42;18;12;12;8;20;15;6;8;14;7;167.42;12;10;0;2
60-E3;2021;4;D20;18;61;11;4;9;11;12;12;1;2;11;10;196.2;11;8;1;1
