"ANOVA: glmmTMB(log(biomass_qm+1)~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = gaussian(link = ""identity""), data = aby)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;
seedDensity;0.21;2;0.9003143;;;;;;;;;;;;
seedMixture;20.616;4;0.0003773;***;;;;;;;;;;;
seedDensity:seedMixture;11.831;8;0.1589076;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
seed mixture;;;;;;;seed density within seed mixture;;;;;;;;
;;;;;;;;;;;;;;;
contrast;estimate;SE;df;t.ratio;p.value;;seedMixture;contrast;estimate;SE;df;lower.CL;upper.CL;t.ratio;p.value
L.nr - M.nr;0.1818;0.111;41;1.639;0.4822;;L.nr;seedDensity1 - seedDensity2;0.02319;0.225;41;-0.675;0.721;0.103;1
L.nr - M.r;-0.2;0.109;41;-1.84;0.3656;;L.nr;seedDensity1 - seedDensity3;-0.16372;0.218;41;-0.841;0.514;-0.751;0.9999
L.nr - I.nr;0.2418;0.11;41;2.203;0.1991;;L.nr;seedDensity2 - seedDensity3;-0.18691;0.194;41;-0.791;0.417;-0.962;0.9981
L.nr - H.r;0.1237;0.11;41;1.124;0.7928;;M.nr;seedDensity1 - seedDensity2;0.21932;0.2;41;-0.402;0.841;1.096;0.9926
M.nr - M.r;-0.3818;0.109;41;-3.501;0.0094;;M.nr;seedDensity1 - seedDensity3;0.14184;0.195;41;-0.464;0.747;0.728;0.9999
M.nr - I.nr;0.06;0.11;41;0.544;0.982;;M.nr;seedDensity2 - seedDensity3;-0.07749;0.196;41;-0.686;0.531;-0.396;1
M.nr - H.r;-0.0581;0.109;41;-0.533;0.9834;;M.r;seedDensity1 - seedDensity2;-0.24717;0.212;41;-0.907;0.412;-1.165;0.9868
M.r - I.nr;0.4418;0.109;41;4.059;0.0019;;M.r;seedDensity1 - seedDensity3;-0.31574;0.208;41;-0.962;0.33;-1.519;0.889
M.r - H.r;0.3237;0.11;41;2.943;0.0402;;M.r;seedDensity2 - seedDensity3;-0.06857;0.253;41;-0.855;0.717;-0.271;1
I.nr - H.r;-0.118;0.11;41;-1.07;0.8208;;I.nr;seedDensity1 - seedDensity2;0.34345;0.194;41;-0.259;0.946;1.772;0.7308
;;;;;;;I.nr;seedDensity1 - seedDensity3;0.4705;0.194;41;-0.134;1.075;2.42;0.2621
;;;;;;;I.nr;seedDensity2 - seedDensity3;0.12705;0.195;41;-0.481;0.735;0.65;1
;;;;;;;H.r;seedDensity1 - seedDensity2;-0.12538;0.196;41;-0.734;0.483;-0.641;1
;;;;;;;H.r;seedDensity1 - seedDensity3;-0.13065;0.195;41;-0.736;0.475;-0.671;1
;;;;;;;H.r;seedDensity2 - seedDensity3;-0.00527;0.194;41;-0.608;0.597;-0.027;1
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
