"ANOVA: glmmTMB(estab_nr~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby)";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;;
seed.density;3.8240;2.0000;0.1478;;;;;;;;;;;;;;;
seed.mixture;29.0574;4.0000;0.0000;***;;;;;;;;;;;;;;
seed.density:seed.mixture;4.0739;8.0000;0.8504;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
seed mixture;;;;;;;seed densities within Seed mixture;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;seed.mixture;contrast;;;ratio;SE;df as;ymp.LCL;asymp.UCL n;ull;z.ratio;p.value
L.nr - M.nr;-0.3769;0.1200;Inf;-3.1320;0.0150;;L.nr;seed.density1;/;seed.density2;0.9490;0.2180;Inf;0.4850;1.8600;1.0000;-0.2290;1.0000
L.nr - M.r;-0.3526;0.1210;Inf;-2.9180;0.0290;;L.nr;seed.density1;/;seed.density3;0.9020;0.2050;Inf;0.4650;1.7500;1.0000;-0.4530;1.0000
L.nr - I.nr;0.0431;0.1320;Inf;0.3260;0.9976;;L.nr;seed.density2;/;seed.density3;0.9510;0.2130;Inf;0.4940;1.8300;1.0000;-0.2240;1.0000
L.nr - H.r;-0.4494;0.1190;Inf;-3.7880;0.0014;;M.nr;seed.density1;/;seed.density2;1.0830;0.1940;Inf;0.6410;1.8300;1.0000;0.4470;1.0000
M.nr - M.r;0.0244;0.1090;Inf;0.2230;0.9995;;M.nr;seed.density1;/;seed.density3;1.3830;0.2650;Inf;0.7900;2.4200;1.0000;1.6930;0.7585
M.nr - I.nr;0.4201;0.1220;Inf;3.4460;0.0052;;M.nr;seed.density2;/;seed.density3;1.2770;0.2490;Inf;0.7220;2.2600;1.0000;1.2540;0.9709
M.nr - H.r;-0.0724;0.1070;Inf;-0.6770;0.9614;;M.r;seed.density1;/;seed.density2;0.9340;0.1720;Inf;0.5450;1.6000;1.0000;-0.3680;1.0000
M.r - I.nr;0.3957;0.1220;Inf;3.2340;0.0107;;M.r;seed.density1;/;seed.density3;1.1630;0.2270;Inf;0.6580;2.0600;1.0000;0.7760;0.9998
M.r - H.r;-0.0968;0.1070;Inf;-0.9010;0.8967;;M.r;seed.density2;/;seed.density3;1.2450;0.2390;Inf;0.7100;2.1800;1.0000;1.1420;0.9875
I.nr - H.r;-0.4925;0.1200;Inf;-4.0970;0.0004;;I.nr;seed.density1;/;seed.density2;0.9470;0.2200;Inf;0.4790;1.8700;1.0000;-0.2320;1.0000
;;;;;;;I.nr;seed.density1;/;seed.density3;0.9470;0.2200;Inf;0.4790;1.8700;1.0000;-0.2320;1.0000
;;;;;;;I.nr;seed.density2;/;seed.density3;1.0000;0.2290;Inf;0.5110;1.9600;1.0000;0.0000;1.0000
;;;;;;;H.r;seed.density1;/;seed.density2;1.0150;0.1750;Inf;0.6130;1.6800;1.0000;0.0860;1.0000
;;;;;;;H.r;seed.density1;/;seed.density3;1.3600;0.2530;Inf;0.7880;2.3500;1.0000;1.6510;0.7901
;;;;;;;H.r;seed.density2;/;seed.density3;1.3400;0.2500;Inf;0.7750;2.3200;1.0000;1.5660;0.8462
;;;;;;;;;;;;;;;;;;
seed density;;;;;;;Seed mixture within seed densities;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value;;
seed.density1 - seed.density2;-0.0159;0.0900;Inf;-0.1770;0.9829;;1;L.nr / M.nr;0.5690;0.1170;Inf;0.2980;1.0900;1.0000;-2.7360;0.1707;;
seed.density1 - seed.density3;0.1252;0.0927;Inf;1.3510;0.3669;;1;L.nr / M.r;0.6490;0.1370;Inf;0.3350;1.2600;1.0000;-2.0470;0.7122;;
seed.density2 - seed.density3;0.1412;0.0922;Inf;1.5320;0.2759;;1;L.nr / I.nr;1.0280;0.2410;Inf;0.4930;2.1400;1.0000;0.1170;1.0000;;
;;;;;;;1;L.nr / H.r;0.5440;0.1110;Inf;0.2870;1.0300;1.0000;-2.9790;0.0832;;
;;;;;;;1;M.nr / M.r;1.1400;0.2070;Inf;0.6450;2.0100;1.0000;0.7240;1.0000;;
;;;;;;;1;M.nr / I.nr;1.8060;0.3750;Inf;0.9410;3.4600;1.0000;2.8440;0.1253;;
;;;;;;;1;M.nr / H.r;0.9560;0.1660;Inf;0.5550;1.6500;1.0000;-0.2600;1.0000;;
;;;;;;;1;M.r / I.nr;1.5830;0.3370;Inf;0.8120;3.0900;1.0000;2.1590;0.6098;;
;;;;;;;1;M.r / H.r;0.8380;0.1510;Inf;0.4770;1.4700;1.0000;-0.9830;1.0000;;
;;;;;;;1;I.nr / H.r;0.5290;0.1090;Inf;0.2770;1.0100;1.0000;-3.0860;0.0592;;
;;;;;;;2;L.nr / M.nr;0.6500;0.1340;Inf;0.3410;1.2400;1.0000;-2.0940;0.6695;;
;;;;;;;2;L.nr / M.r;0.6390;0.1310;Inf;0.3360;1.2200;1.0000;-2.1820;0.5880;;
;;;;;;;2;L.nr / I.nr;1.0260;0.2340;Inf;0.5020;2.1000;1.0000;0.1140;1.0000;;
;;;;;;;2;L.nr / H.r;0.5820;0.1170;Inf;0.3090;1.0900;1.0000;-2.6870;0.1953;;
;;;;;;;2;M.nr / M.r;0.9840;0.1790;Inf;0.5560;1.7400;1.0000;-0.0910;1.0000;;
;;;;;;;2;M.nr / I.nr;1.5790;0.3270;Inf;0.8240;3.0300;1.0000;2.2030;0.5679;;
;;;;;;;2;M.nr / H.r;0.8960;0.1590;Inf;0.5130;1.5600;1.0000;-0.6210;1.0000;;
;;;;;;;2;M.r / I.nr;1.6050;0.3320;Inf;0.8390;3.0700;1.0000;2.2900;0.4871;;
;;;;;;;2;M.r / H.r;0.9100;0.1610;Inf;0.5230;1.5900;1.0000;-0.5300;1.0000;;
;;;;;;;2;I.nr / H.r;0.5670;0.1150;Inf;0.3000;1.0700;1.0000;-2.7930;0.1456;;
;;;;;;;3;L.nr / M.nr;0.8720;0.1860;Inf;0.4460;1.7100;1.0000;-0.6390;1.0000;;
;;;;;;;3;L.nr / M.r;0.8370;0.1770;Inf;0.4310;1.6300;1.0000;-0.8420;1.0000;;
;;;;;;;3;L.nr / I.nr;1.0790;0.2430;Inf;0.5320;2.1900;1.0000;0.3370;1.0000;;
;;;;;;;3;L.nr / H.r;0.8200;0.1730;Inf;0.4230;1.5900;1.0000;-0.9420;1.0000;;
;;;;;;;3;M.nr / M.r;0.9590;0.1960;Inf;0.5060;1.8200;1.0000;-0.2040;1.0000;;
;;;;;;;3;M.nr / I.nr;1.2370;0.2700;Inf;0.6240;2.4500;1.0000;0.9740;1.0000;;
;;;;;;;3;M.nr / H.r;0.9400;0.1910;Inf;0.4970;1.7800;1.0000;-0.3050;1.0000;;
;;;;;;;3;M.r / I.nr;1.2890;0.2790;Inf;0.6550;2.5400;1.0000;1.1760;0.9997;;
;;;;;;;3;M.r / H.r;0.9800;0.1970;Inf;0.5220;1.8400;1.0000;-0.1010;1.0000;;
