"ANOVA: glmmTMB(estab_nr~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby24)";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;
seed.density;0.2483;2;0.8832000;;;;;;;;;;;;;;
seed.mixture;40.8939;4;0.0000000;***;;;;;;;;;;;;;
seed.density:seed.mixture;1.4553;8;0.9934;;;;;;;;;;;;;;
;;;;;;;;density within seed mixture;;;;;;;;;
seed mixture;;;;;;;;;;;;;;;;;
;;;;;;;;seed.mixture;contrast;ratio;SE;df as;ymp.LCL as;ymp.UCL n;ull;z.ratio;p.value
contrast;estimate;SE;df;z.ratio;p.value;;;L.nr;seed.density1 / seed.density2;0.765;0.282;Inf;0.26;2.25;1;-0.728;0.9999
L.nr - M.nr;-1;0.185;Inf;-6.089;<.0001;;;L.nr;seed.density1 / seed.density3;0.867;0.328;Inf;0.286;2.63;1;-0.378;1
L.nr - M.r;-0.8818;0.19;Inf;-4.629;<.0001;;;L.nr;seed.density2 / seed.density3;1.133;0.401;Inf;0.402;3.2;1;0.353;1
L.nr - I.nr;-1.0654;0.186;Inf;-5.718;<.0001;;;M.nr;seed.density1 / seed.density2;1;0.206;Inf;0.547;1.83;1;0;1
L.nr - H.r;-0.8492;0.191;Inf;-4.439;0.0001;;;M.nr;seed.density1 / seed.density3;1.068;0.224;Inf;0.578;1.97;1;0.314;1
M.nr - M.r;0;0.145;Inf;1.691;0.4395;;;M.nr;seed.density2 / seed.density3;1.068;0.224;Inf;0.578;1.97;1;0.314;1
M.nr - I.nr;0.0616;0.14;Inf;0.441;0.9922;;;M.r;seed.density1 / seed.density2;1;0.232;Inf;0.506;1.98;1;0;1
M.nr - H.r;0.2778;0.146;Inf;1.9;0.3175;;;M.r;seed.density1 / seed.density3;1.088;0.259;Inf;0.543;2.18;1;0.356;1
M.r - I.nr;-0.1837;0.147;Inf;-1.252;0.7204;;;M.r;seed.density2 / seed.density3;1.088;0.259;Inf;0.543;2.18;1;0.356;1
M.r - H.r;0.0326;0.153;Inf;0.213;0.9995;;;I.nr;seed.density1 / seed.density2;0.976;0.214;Inf;0.513;1.86;1;-0.11;1
I.nr - H.r;0.2162;0.148;Inf;1.463;0.5865;;;I.nr;seed.density1 / seed.density3;0.872;0.186;Inf;0.467;1.63;1;-0.639;1
;;;;;;;;I.nr;seed.density2 / seed.density3;0.894;0.19;Inf;0.48;1.66;1;-0.53;1
;;;;;;;;H.r;seed.density1 / seed.density2;0.889;0.216;Inf;0.436;1.81;1;-0.485;1
;;;;;;;;H.r;seed.density1 / seed.density3;0.865;0.209;Inf;0.427;1.75;1;-0.601;1
;;;;;;;;H.r;seed.density2 / seed.density3;0.973;0.228;Inf;0.49;1.93;1;-0.117;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
seed densities;;;;;;;;seed mixture within density;;;;;;;;;
;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value
seed.density1 - seed.density2;0;0.117;Inf;-0.704;0.7612;;;1;L.nr / M.nr;0.276;0.0886;Inf;0.101;0.755;1;-4.013;0.0018
seed.density1 - seed.density3;0;0.118;Inf;-0.465;0.8876;;;1;L.nr / M.r;0.351;0.1156;Inf;0.125;0.986;1;-3.179;0.0434
seed.density2 - seed.density3;2.72E-02;0.114;Inf;0.238;0.9693;;;1;L.nr / I.nr;0.317;0.1031;Inf;0.114;0.879;1;-3.532;0.0123
;;;;;;;;1;L.nr / H.r;0.407;0.1367;Inf;0.142;1.167;1;-2.677;0.2006
;;;;;;;;1;M.nr / M.r;1.27;0.2919;Inf;0.618;2.611;1;1.04;1
;;;;;;;;1;M.nr / I.nr;1.147;0.2569;Inf;0.568;2.316;1;0.612;1
;;;;;;;;1;M.nr / H.r;1.473;0.352;Inf;0.696;3.117;1;1.621;0.964
;;;;;;;;1;M.r / I.nr;0.903;0.2136;Inf;0.43;1.896;1;-0.431;1
;;;;;;;;1;M.r / H.r;1.16;0.2908;Inf;0.528;2.547;1;0.592;1
;;;;;;;;1;I.nr / H.r;1.284;0.3151;Inf;0.595;2.773;1;1.02;1
;;;;;;;;2;L.nr / M.nr;0.361;0.1051;Inf;0.145;0.9;1;-3.499;0.0139
;;;;;;;;2;L.nr / M.r;0.459;0.138;Inf;0.179;1.178;1;-2.591;0.2508
;;;;;;;;2;L.nr / I.nr;0.405;0.1194;Inf;0.16;1.021;1;-3.065;0.0633
;;;;;;;;2;L.nr / H.r;0.473;0.1429;Inf;0.184;1.22;1;-2.478;0.3288
;;;;;;;;2;M.nr / M.r;1.27;0.2919;Inf;0.618;2.611;1;1.04;1
;;;;;;;;2;M.nr / I.nr;1.12;0.2493;Inf;0.557;2.251;1;0.508;1
;;;;;;;;2;M.nr / H.r;1.31;0.3032;Inf;0.633;2.708;1;1.164;0.9998
;;;;;;;;2;M.r / I.nr;0.882;0.2074;Inf;0.421;1.844;1;-0.536;1
;;;;;;;;2;M.r / H.r;1.031;0.2512;Inf;0.48;2.214;1;0.126;1
;;;;;;;;2;I.nr / H.r;1.17;0.2771;Inf;0.556;2.459;1;0.661;1
;;;;;;;;3;L.nr / M.nr;0.341;0.1044;Inf;0.13;0.891;1;-3.515;0.0131
;;;;;;;;3;L.nr / M.r;0.441;0.1398;Inf;0.163;1.192;1;-2.584;0.2553
;;;;;;;;3;L.nr / I.nr;0.319;0.097;Inf;0.123;0.828;1;-3.757;0.0051
;;;;;;;;3;L.nr / H.r;0.406;0.1273;Inf;0.152;1.086;1;-2.874;0.1148
;;;;;;;;3;M.nr / M.r;1.294;0.3079;Inf;0.613;2.73;1;1.083;0.9999
;;;;;;;;3;M.nr / I.nr;0.937;0.2063;Inf;0.469;1.869;1;-0.297;1
;;;;;;;;3;M.nr / H.r;1.193;0.278;Inf;0.574;2.478;1;0.756;1
;;;;;;;;3;M.r / I.nr;0.724;0.1701;Inf;0.346;1.513;1;-1.375;0.9961
;;;;;;;;3;M.r / H.r;0.922;0.2277;Inf;0.425;2.001;1;-0.329;1
;;;;;;;;3;I.nr / H.r;1.273;0.2928;Inf;0.619;2.619;1;1.051;1
