"ANOVA: glmmTMB(weed_nr~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby24)";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;
seed.density;1.103;2;0.5760797;;;;;;;;;;;;;;
seed.mixture;22.2416;4;0.0001794;***;;;;;;;;;;;;;
seed.density:seed.mixture;9.4061;8;0.3092077;;;;;;;;;;;;;;
;;;;;;;;density within seed mixture;;;;;;;;;
seed mixture;;;;;;;;;;;;;;;;;
;;;;;;;;seed.mixture;contrast;ratio;SE;df as;ymp.LCL as;ymp.UCL n;ull;z.ratio;p.value
contrast;estimate;SE;df;z.ratio;p.value;;;L.nr;seed.density1 / seed.density2;1.522;0.408;Inf;0.693;3.34;1;1.564;0.8474
L.nr - M.nr;0;0.157;Inf;0.263;0.9989;;;L.nr;seed.density1 / seed.density3;1.296;0.332;Inf;0.612;2.74;1;1.013;0.9963
L.nr - M.r;0.0602;0.159;Inf;0.38;0.9956;;;L.nr;seed.density2 / seed.density3;0.852;0.242;Inf;0.371;1.96;1;-0.565;1
L.nr - I.nr;-0.069;0.153;Inf;-0.452;0.9914;;;M.nr;seed.density1 / seed.density2;1.28;0.342;Inf;0.586;2.8;1;0.925;0.9986
L.nr - H.r;0.8371;0.201;Inf;4.168;0.0003;;;M.nr;seed.density1 / seed.density3;1.333;0.36;Inf;0.605;2.94;1;1.065;0.9937
M.nr - M.r;0;0.16;Inf;0.118;1;;;M.nr;seed.density2 / seed.density3;1.042;0.298;Inf;0.451;2.4;1;0.143;1
M.nr - I.nr;-0.1103;0.154;Inf;-0.716;0.9529;;;M.r;seed.density1 / seed.density2;0.875;0.261;Inf;0.365;2.1;1;-0.447;1
M.nr - H.r;0.7958;0.202;Inf;3.941;0.0008;;;M.r;seed.density1 / seed.density3;0.583;0.16;Inf;0.261;1.3;1;-1.963;0.5342
M.r - I.nr;-0.1291;0.156;Inf;-0.83;0.9213;;;M.r;seed.density2 / seed.density3;0.667;0.176;Inf;0.308;1.44;1;-1.539;0.8625
M.r - H.r;0.7769;0.203;Inf;3.826;0.0012;;;I.nr;seed.density1 / seed.density2;0.9;0.239;Inf;0.414;1.96;1;-0.397;1
I.nr - H.r;0.9061;0.199;Inf;4.564;<.0001;;;I.nr;seed.density1 / seed.density3;0.818;0.212;Inf;0.383;1.75;1;-0.773;0.9998
;;;;;;;;I.nr;seed.density2 / seed.density3;0.909;0.229;Inf;0.434;1.9;1;-0.378;1
;;;;;;;;H.r;seed.density1 / seed.density2;1;0.378;Inf;0.331;3.02;1;0;1
;;;;;;;;H.r;seed.density1 / seed.density3;1.556;0.665;Inf;0.445;5.43;1;1.034;0.9954
;;;;;;;;H.r;seed.density2 / seed.density3;1.556;0.665;Inf;0.445;5.43;1;1.034;0.9954
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
seed densities;;;;;;;;seed mixture within density;;;;;;;;;
;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value
seed.density1 - seed.density2;0;0.134;Inf;0.641;0.7976;;;1;L.nr / M.nr;1.094;0.268;Inf;0.508;2.36;1;0.366;1
seed.density1 - seed.density3;0;0.136;Inf;0.366;0.9288;;;1;L.nr / M.r;1.667;0.46;Inf;0.701;3.96;1;1.851;0.8635
seed.density2 - seed.density3;-3.57E-02;0.138;Inf;-0.258;0.9639;;;1;L.nr / I.nr;1.296;0.332;Inf;0.58;2.89;1;1.013;1
;;;;;;;;1;L.nr / H.r;2.5;0.791;Inf;0.927;6.74;1;2.898;0.1069
